City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,blackmans bay,-43.0167,147.3167,3.74,89,0,0.45,AU,1728910395
111,al mutayrifi,25.4788,49.5576,39.19,14,0,3.75,SA,1728910396
112,changling,44.2653,124.0005,10.49,47,85,6.88,CN,1728910397
113,pitimbu,-7.4706,-34.8086,27.59,66,47,7.33,BR,1728910398
114,great falls,47.5002,-111.3008,11.66,54,0,5.66,US,1728910399
115,san patricio,28.017,-97.5169,15.97,82,0,2.35,US,1728910400
116,island harbour,50.724,-1.2758,16.12,63,69,3.13,GB,1728910402
117,tazovsky,67.4667,78.7,1.49,91,98,9.49,RU,1728910403
118,remire-montjoly,4.9167,-52.2667,31.02,66,75,3.6,GF,1728910404
119,dois corregos,-22.3661,-48.3803,26.71,47,94,4.49,BR,1728910405
120,smithers,54.7804,-127.1743,8.18,100,100,1.03,CA,1728910406
121,college,64.8569,-147.8028,0.09,90,100,0.0,US,1728910407
122,lakhimpur,27.95,80.7667,23.93,59,36,1.87,IN,1728910409
123,badger,64.8,-147.5333,-0.86,92,100,0.0,US,1728910410
124,urucui,-7.2294,-44.5561,35.23,26,10,4.18,BR,1728910411
125,fort mcmurray,56.7268,-111.381,7.77,61,100,4.12,CA,1728910412
126,coronel dorrego,-38.7187,-61.2873,21.1,56,23,7.42,AR,1728910413
127,east ballina,-28.8667,153.5833,18.42,73,100,4.26,AU,1728910414
128,tsiombe,-25.3,45.4833,30.94,32,77,6.55,MG,1728910415
129,alice springs,-23.7,133.8833,26.75,36,100,3.09,AU,1728910416
130,aykhal,66.0,111.5,-8.51,94,100,6.44,RU,1728910417
131,nagqu,31.5,92.0,3.47,36,100,2.48,CN,1728910418
132,west island,-12.1568,96.8225,26.99,83,75,5.14,CC,1728910419
133,sao paulo de olivenca,-3.3783,-68.8725,28.8,63,98,0.4,BR,1728910420
134,port elizabeth,-33.918,25.5701,19.16,77,20,9.26,ZA,1728910421
135,moree,-29.4667,149.85,14.93,96,100,4.48,AU,1728910422
136,udachny,66.4167,112.4,-8.0,93,100,5.71,RU,1728910423
137,laguna,38.421,-121.4238,16.09,88,0,2.06,US,1728910424
138,richards bay,-28.783,32.0377,20.77,82,100,8.11,ZA,1728910425
139,argo,37.6333,22.7333,26.0,49,57,2.75,GR,1728910427
